id,dt(s),t(yr),rFeC_pb,mu0,m_l,m_q,kappa,kfe_p,kldoc_p,pge,phi,rCLig,PB(1),PB(2),PB(3),LDOC(1),LDOC(2),LDOC(3),Fe(1),Fe(2),Fe(3),PO4(1),PO4(2),PO4(3),NO3(1),NO3(2),NO3(3),Lig(1),Lig(2),Lig(3),DIC(1),DIC(2),DIC(3),ALK(1),ALK(2),ALK(3),OCPCO2(1),OCPCO2(2),OCPCO2(3),ATPCO2,Limit
2496,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,0,0.000102,0.25,0.1,0,1074.200774,4114.567396,2980.529486,98.669792,3.57325,109.71875,0.000468,0.058555,0.03524,1.469951,0.240912,1.457892,18.489515,0.048495,18.349658,2.094193,2.109933,2.121196,2277.359797,2094.76792,2289.114112,2412.783495,2372.109655,2416.346512,277.642593,276.539074,308.234361,0,323
2497,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.001,0,421.137825,490.606025,656.23934,1.407254,0.00397,0.00298,0.000574,0.11336,0.109435,2.372783,0.24112,2.511286,32.934826,0.051816,35.203963,2.166931,2.136495,2.222811,2268.155953,2085.605952,2400.738505,2397.919472,2370.807329,2399.502889,288.751223,264.653996,1008.146589,0,323
2498,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.01,0,465.824604,1406.045819,947.099438,31.138198,6.706786,38.401518,0.000539,0.152919,0.099471,2.093371,0.240872,2.14628,28.464235,0.047854,29.363872,2.166569,2.132698,2.221868,2270.789541,2089.19229,2362.053627,2402.419989,2372.29553,2405.331884,284.956528,268.090773,645.985142,0,323
2499,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.1,0,456.934985,3980.888735,922.473656,219.874981,58.18832,232.312227,0.002312,0.566189,0.096524,0.314375,0.239871,0.313374,0.000301,0.031837,0.037364,2.111026,2.095068,2.119138,2288.983004,2113.564198,2167.814908,2430.915121,2383.005509,2434.578905,265.718217,292.038517,125.811185,0,222
2500,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-05,0.000102,0.25,0.001,0,16.968617,24.819509,20.877527,5.42754,4.653904,6.622176,0.000622,0.167913,0.129509,2.325033,0.240989,2.45345,32.170831,0.049724,34.278588,2.172713,2.135385,2.233107,2268.31951,2086.634717,2394.606781,2398.40948,2371.660862,2400.42262,288.014015,265.145371,939.65781,0,323
2501,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-05,0.000102,0.25,0.01,0,16.936775,40.592104,20.821699,36.431687,26.742375,48.448102,0.000615,0.372729,0.127982,2.032525,0.240307,2.057323,27.490696,0.03881,27.940556,2.172291,2.124255,2.232439,2270.948824,2092.501996,2352.614511,2403.089261,2376.077575,2406.727936,283.84523,268.485382,581.351831,0,323
2502,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-05,0.000102,0.25,0.1,0,16.936411,376.199846,20.928765,220.275771,125.592438,232.814776,0.016831,1.271897,0.121009,0.314356,0.237929,0.311048,1E-06,0.000764,0.000148,2.109151,2.062523,2.115428,2289.498623,2123.498446,2167.53174,2430.923602,2395.889819,2434.520655,266.709538,291.231108,125.644279,0,222
2503,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,0,0.000102,0.25,0.001,0,1508.36735,1418.09895,1798.898003,3.6E-05,0.00082,0.000861,0.000362,0.09089,0.072929,2.412293,0.241152,2.502399,33.566986,0.052334,35.061774,2.14377,2.129123,2.191076,2268.347221,2085.328781,2399.792312,2398.020352,2370.957753,2399.642143,289.084556,264.087677,997.325986,0,323
2504,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,0,0.000102,0.25,0.01,0,3573.49781,6573.079605,3954.736389,0.103994,0.001637,0.000339,4.5E-05,0.002979,0.003813,2.4611,0.279629,2.485119,34.347909,0.667964,34.785291,2.048495,2.096781,2.054179,2269.059167,2087.312728,2397.950275,2398.630901,2371.996613,2399.902895,289.589786,265.817168,976.645512,0,333
2505,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,0,0.000102,0.25,0.1,0,3589.240882,23743.238365,3940.953898,59.198456,49.336398,60.64182,3E-05,0.002184,0.000266,1.903873,0.239638,1.908997,25.432278,0.028114,25.567336,2.034422,2.062279,2.035716,2274.937595,2100.531539,2336.885987,2407.554775,2384.448873,2409.033114,283.518372,270.380898,490.615733,0,323
2506,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.001,0,1317.848915,1456.760675,1909.989177,0.955076,0.001143,0.000783,0.000343,0.089586,0.068851,2.398966,0.241142,2.50156,33.353758,0.052164,35.048341,2.160522,2.135425,2.209139,2268.458481,2085.518526,2399.705905,2398.111067,2370.964052,2399.655834,289.114993,264.350481,996.333304,0,323
