      t(yr)     Limits    THETA      THETA      THETA     SALT       SALT       SALT      DIC        DIC        DIC        ALK        ALK        ALK           PO4        PO4        PO4       NO3        NO3        NO3         FET        FET        FET        LIG        LIG        LIG        EXPORT     EXPORT     EXPORT     P*       OCPCO2     OCPCO2     OCPCO2     ATPCO2       LDOC       LDOC       LDOC       PB         PB         PB      
          0               2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2200.00000 2100.00000 2400.00000 2350.00000 2350.00000 2400.00000    2.00000    0.00000    2.50000   25.00000    0.00000   35.00000    1.00000    1.00000    1.00000    2.00000    2.00000    2.00000    0.00000    0.00000    0.00000    0.28571  237.33609  313.93736  995.96146  280.00000    2.00000    2.00000    2.00000  100.00000  100.00000  100.00000
         25        324    2.00001   20.00009    4.00002   34.00016   35.50016   34.75016 2262.08126 2091.77250 2400.12542 2392.59364 2373.88846 2399.60410    2.03242    0.23026    2.50598   27.32253    0.03847   35.11827    0.00439    0.72633    0.31002   12.18173    3.69509    0.35261    0.34617    1.28819   -1.63436    0.22207  285.26432  270.12607 1001.02614  280.00128    3.78783   11.81677    1.16018   11.07738  281.82825   25.13877
         75        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.78179 2103.68415 2398.83872 2398.27644 2391.93263 2399.46652    2.20664    0.30975    2.50360   30.33741    0.04118   35.08909    0.00132    0.42568    0.28351    9.33294   10.75223    0.45282    0.23785    1.37839   -1.61624    0.13542  286.76745  266.44007  989.60388  280.00000    2.98705   24.51944    1.22444    2.78980  210.24282    8.62385
        125        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.34903 2104.89386 2397.90412 2398.02332 2392.68166 2399.46419    2.14294    0.31287    2.50357   29.31886    0.04014   35.08901    0.00156    0.46527    0.33539   11.14140    9.09687    0.35599    0.28044    1.34443   -1.62487    0.16444  286.13989  267.31503  980.47706  280.00000    3.41678   24.28543    1.23748    4.80504  232.18147   14.48010
        175        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.27869 2104.84892 2397.02712 2398.00314 2392.59247 2399.46072    2.13952    0.31301    2.50384   29.26414    0.04012   35.09332    0.00158    0.47064    0.34013   11.22771    8.67265    0.34056    0.28427    1.34353   -1.62780    0.16611  286.01598  267.35322  971.99785  280.00000    3.40732   23.66309    1.21605    4.15448  235.27362   12.47995
        225        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.21396 2104.85857 2396.14436 2397.97941 2392.52669 2399.46139    2.13335    0.31301    2.50385   29.16543    0.04004   35.09344    0.00159    0.47684    0.34340   11.41697    8.35435    0.34345    0.28697    1.34091   -1.62788    0.16892  285.90390  267.44229  963.48620  280.00000    3.44908   23.32385    1.21912    4.20722  238.70513   12.65380
        275        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.17833 2104.84936 2395.28146 2397.98006 2392.52382 2399.46122    2.13359    0.31301    2.50386   29.16932    0.04004   35.09363    0.00159    0.47634    0.34377   11.41035    8.36461    0.34388    0.28726    1.34094   -1.62820    0.16881  285.82537  267.43242  955.23771  280.00000    3.44607   23.30941    1.21802    4.17407  238.41781   12.55186
        325        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.14246 2104.84756 2394.43723 2397.97819 2392.51868 2399.46125    2.13311    0.31301    2.50386   29.16161    0.04003   35.09366    0.00160    0.47685    0.34402   11.42517    8.33960    0.34411    0.28747    1.34075   -1.62821    0.16903  285.74929  267.43573  947.22653  280.00000    3.44922   23.28350    1.21815    4.17781  238.70379   12.56365
        375        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.10924 2104.84455 2393.61200 2397.97805 2392.51819 2399.46124    2.13308    0.31301    2.50386   29.16116    0.04003   35.09367    0.00160    0.47685    0.34409   11.42611    8.33895    0.34418    0.28752    1.34072   -1.62825    0.16905  285.67690  267.43200  939.45447  280.00000    3.44928   23.28104    1.21808    4.17505  238.69832   12.55528
        425        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.07696 2104.84187 2392.80538 2397.97790 2392.51770 2399.46124    2.13304    0.31301    2.50386   29.16054    0.04003   35.09368    0.00160    0.47689    0.34411   11.42730    8.33674    0.34420    0.28754    1.34071   -1.62825    0.16907  285.60657  267.42873  931.91326  280.00000    3.44952   23.27856    1.21808    4.17523  238.72249   12.55584
        475        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.04552 2104.83923 2392.01699 2397.97787 2392.51763 2399.46124    2.13304    0.31301    2.50386   29.16044    0.04003   35.09368    0.00160    0.47689    0.34412   11.42751    8.33655    0.34421    0.28755    1.34071   -1.62825    0.16907  285.53797  267.42504  924.59581  280.00000    3.44955   23.27821    1.21807    4.17499  238.72368   12.55514
