      t(yr)     Limits    THETA      THETA      THETA     SALT       SALT       SALT      DIC        DIC        DIC        ALK        ALK        ALK           PO4        PO4        PO4       NO3        NO3        NO3         FET        FET        FET        LIG        LIG        LIG        EXPORT     EXPORT     EXPORT     P*       OCPCO2     OCPCO2     OCPCO2     ATPCO2       LDOC       LDOC       LDOC       PB         PB         PB      
          0               2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2200.00000 2100.00000 2400.00000 2350.00000 2350.00000 2400.00000    2.00000    0.00000    2.50000   25.00000    0.00000   35.00000    1.00000    1.00000    1.00000    2.00000    2.00000    2.00000    0.00000    0.00000    0.00000    0.28571  237.33609  313.93736  995.96146  280.00000    2.00000    2.00000    2.00000  100.00000  100.00000  100.00000
         25        323    2.00001   20.00009    4.00002   34.00016   35.50016   34.75016 2263.85213 2088.12492 2401.13100 2393.47245 2372.28930 2399.44552    2.30665    0.23084    2.51581   31.71015    0.04763   35.27562    0.00312    0.05765    0.04275    1.48607    0.60047    0.06621    0.12739    1.58668   -1.71407    0.10110  288.16512  266.69370 1012.67441  280.00128    1.04666    3.67796    0.11302   17.58344  439.40814   23.37529
         75        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.35342 2099.06248 2399.92099 2399.07077 2388.91372 2399.29942    2.45686    0.31034    2.51470   34.34105    0.05066   35.26666    0.00023    0.05062    0.04483    1.74333    1.55095    0.04482    0.04259    1.68563   -1.72822    0.02625  289.35906  263.32755 1001.99019  280.00000    0.45305    9.23666    0.10134    2.48809  422.70663    7.44199
        125        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.33879 2099.80574 2398.89449 2399.08825 2389.94200 2399.29306    2.46335    0.31353    2.51458   34.44547    0.05066   35.26508    0.00022    0.05009    0.04117    1.53810    1.78491    0.04116    0.03959    1.68562   -1.72521    0.02324  289.30979  263.22265  991.89925  280.00000    0.41249   10.41979    0.10117    2.61443  416.92547    7.76721
        175        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.30311 2099.85208 2397.90522 2399.09022 2390.01213 2399.29276    2.46394    0.31367    2.51456   34.45485    0.05066   35.26483    0.00021    0.05005    0.04074    1.51948    1.81881    0.04073    0.03924    1.68562   -1.72486    0.02297  289.22829  263.20922  982.20379  280.00000    0.40900   10.59692    0.10128    2.64377  416.41133    7.85382
        225        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.26579 2099.85294 2396.94006 2399.09054 2390.01836 2399.29274    2.46402    0.31367    2.51456   34.45621    0.05066   35.26480    0.00021    0.05004    0.04067    1.51679    1.82336    0.04066    0.03919    1.68563   -1.72481    0.02293  289.14506  263.20346  972.82188  280.00000    0.40849   10.62048    0.10128    2.64827  416.33971    7.86664
        275        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.22889 2099.85022 2395.99695 2399.09059 2390.01906 2399.29274    2.46403    0.31367    2.51456   34.45640    0.05066   35.26480    0.00021    0.05004    0.04066    1.51642    1.82397    0.04065    0.03918    1.68563   -1.72481    0.02292  289.06314  263.19886  963.73013  280.00000    0.40842   10.62363    0.10128    2.64885  416.32996    7.86828
        325        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.19276 2099.84719 2395.07520 2399.09059 2390.01914 2399.29274    2.46403    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51638    1.82405    0.04065    0.03918    1.68563   -1.72481    0.02292  288.98300  263.19451  954.91699  280.00000    0.40841   10.62405    0.10128    2.64893  416.32868    7.86850
        375        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.15742 2099.84417 2394.17431 2399.09059 2390.01915 2399.29274    2.46403    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.90466  263.19028  946.37276  280.00000    0.40841   10.62411    0.10128    2.64894  416.32851    7.86853
        425        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.12287 2099.84122 2393.29380 2399.09059 2390.01916 2399.29274    2.46404    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.82809  263.18614  938.08825  280.00000    0.40841   10.62411    0.10128    2.64894  416.32849    7.86853
        475        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.08909 2099.83834 2392.43320 2399.09059 2390.01916 2399.29274    2.46404    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.75326  263.18209  930.05465  280.00000    0.40841   10.62412    0.10128    2.64894  416.32848    7.86853
        525        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.05606 2099.83552 2391.59208 2399.09059 2390.01916 2399.29274    2.46404    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.68012  263.17813  922.26345  280.00000    0.40841   10.62412    0.10128    2.64894  416.32848    7.86853
        575        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.02377 2099.83276 2390.76998 2399.09059 2390.01916 2399.29274    2.46404    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.60864  263.17427  914.70645  280.00000    0.40841   10.62412    0.10128    2.64894  416.32848    7.86853
        625        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.99220 2099.83006 2389.96648 2399.09059 2390.01916 2399.29274    2.46404    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.53877  263.17048  907.37575  280.00000    0.40841   10.62412    0.10128    2.64894  416.32848    7.86853
        675        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.96133 2099.82742 2389.18115 2399.09059 2390.01916 2399.29274    2.46404    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.47049  263.16679  900.26376  280.00000    0.40841   10.62412    0.10128    2.64894  416.32848    7.86853
        725        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.93115 2099.82485 2388.41359 2399.09059 2390.01916 2399.29274    2.46404    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.40375  263.16317  893.36312  280.00000    0.40841   10.62412    0.10128    2.64894  416.32848    7.86853
        775        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.90165 2099.82232 2387.66340 2399.09059 2390.01916 2399.29274    2.46404    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.33852  263.15964  886.66679  280.00000    0.40841   10.62412    0.10128    2.64894  416.32848    7.86853
        825        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.87280 2099.81986 2386.93017 2399.09059 2390.01916 2399.29274    2.46404    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.27477  263.15618  880.16793  280.00000    0.40841   10.62412    0.10128    2.64894  416.32848    7.86853
        875        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.84460 2099.81745 2386.21353 2399.09059 2390.01916 2399.29274    2.46404    0.31367    2.51456   34.45642    0.05066   35.26480    0.00021    0.05004    0.04066    1.51637    1.82407    0.04065    0.03918    1.68563   -1.72480    0.02292  288.21246  263.15281  873.86001  280.00000    0.40841   10.62412    0.10128    2.64894  416.32848    7.86853
