      t(yr)     Limits    THETA      THETA      THETA     SALT       SALT       SALT      DIC        DIC        DIC        ALK        ALK        ALK           PO4        PO4        PO4       NO3        NO3        NO3         FET        FET        FET        LIG        LIG        LIG        EXPORT     EXPORT     EXPORT     P*       OCPCO2     OCPCO2     OCPCO2     ATPCO2       LDOC       LDOC       LDOC       PB         PB         PB      
          0               2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2200.00000 2100.00000 2400.00000 2350.00000 2350.00000 2400.00000    2.00000    0.00000    2.50000   25.00000    0.00000   35.00000    0.10000    0.10000    0.10000    2.00000    2.00000    2.00000    0.00000    0.00000    0.00000    0.28571  237.33609  313.93736  995.96146  280.00000    2.00000    2.00000    2.00000   10.00000   10.00000   10.00000
         10        323    2.00002   20.00023    4.00005   34.00039   35.50041   34.75040 2257.32433 2079.33879 2400.84463 2386.12339 2358.91139 2399.68712    2.25826    0.15541    2.50979   30.61555    0.04757   35.17110    0.00073    0.15709    0.11432    2.07077    2.06194    2.11412    0.12175    1.58561   -1.70736    0.12955  287.84041  269.37964 1007.42872  280.00320    1.54842    0.49072    0.75585    5.50028   36.67035   48.16341
         30        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.55367 2091.35164 2400.22118 2398.53734 2377.99602 2399.48866    2.35684    0.27270    2.50855   32.72117    0.05063   35.16382    0.00069    0.09941    0.14460    2.29552    2.23662    2.35986    0.12464    1.68492   -1.80956    0.06947  288.36666  264.70245 1003.10204  280.00000    1.34510    0.46976    0.76576    5.53029   36.82531   50.17930
         50        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.53060 2097.19821 2399.72347 2398.64514 2385.05285 2399.44403    2.32846    0.30200    2.50790   32.28482    0.04998   35.15686    0.00082    0.08356    0.17416    2.55780    2.46552    2.62738    0.14885    1.66386   -1.81271    0.08169  288.02506  265.04062  998.58255  280.00000    1.51038    0.46818    0.81709    5.70883   36.74174   52.03543
         70        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.29044 2099.11348 2399.27315 2398.50358 2387.11203 2399.43558    2.29795    0.31026    2.50751   31.79840    0.04925   35.15159    0.00095    0.09926    0.20320    2.83854    2.72522    2.91185    0.17262    1.64018   -1.81280    0.09539  287.69026  265.43562  994.20825  280.00000    1.67153    0.46601    0.85853    5.86224   36.62586   53.45794
         90        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.05963 2099.85806 2398.84491 2398.37123 2387.70213 2399.43692    2.26784    0.31259    2.50723   31.31718    0.04852   35.14739    0.00108    0.12410    0.23196    3.13377    3.00512    3.20999    0.19617    1.61669   -1.81286    0.10898  287.35953  265.82670  989.97622  280.00000    1.82373    0.46374    0.89298    5.99980   36.50434   54.59280
        110        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.83361 2100.26468 2398.43068 2398.24342 2387.87062 2399.44056    2.23801    0.31322    2.50701   30.84005    0.04780   35.14400    0.00121    0.15141    0.26055    3.44090    3.30002    3.51944    0.21957    1.59337   -1.81294    0.12247  287.03162  266.21440  985.87602  280.00000    1.96934    0.46140    0.92220    6.12661   36.37867   55.52307
        130        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.60926 2100.57320 2398.02743 2398.11686 2387.91834 2399.44446    2.20837    0.31337    2.50684   30.36573    0.04708   35.14124    0.00134    0.17935    0.28903    3.75802    3.60689    3.83844    0.24288    1.57015   -1.81303    0.13589  286.70585  266.59979  981.89567  280.00000    2.10992    0.45901    0.94734    6.24577   36.24955   56.30122
        150        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.38554 2100.85258 2397.63372 2397.99055 2387.93147 2399.44811    2.17885    0.31338    2.50669   29.89342    0.04637   35.13898    0.00147    0.20744    0.31743    4.08366    3.92368    4.16560    0.26613    1.54700   -1.81313    0.14928  286.38179  266.98353  978.02486  280.00000    2.24654    0.45657    0.96924    6.35935   36.11748   56.96268
        170        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.16211 2101.12277 2397.24874 2397.86419 2387.93470 2399.45142    2.14942    0.31336    2.50658   29.42260    0.04566   35.13712    0.00161    0.23553    0.34578    4.41664    4.24888    4.49983    0.28933    1.52391   -1.81323    0.16263  286.05912  267.36607  974.25525  280.00000    2.37998    0.45409    0.98851    6.46880   35.98283   57.53242
        190        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2266.93882 2101.38961 2396.87189 2397.73771 2387.93508 2399.45442    2.12006    0.31332    2.50648   28.95288    0.04495   35.13561    0.00174    0.26362    0.37408    4.75604    4.58133    4.84025    0.31249    1.50085   -1.81334    0.17597  285.73762  267.74773  970.58014  280.00000    2.51081    0.45158    1.00560    6.57512   35.84590   58.02864
