id,dt(s),t(yr),rFeC_pb,mu0,m_l,m_q,kappa,kfe_p,kldoc_p,pge,phi,rCLig,lt_lifet,ligphi,lt_deepf,PB(1),PB(2),PB(3),LDOC(1),LDOC(2),LDOC(3),Fe(1),Fe(2),Fe(3),PO4(1),PO4(2),PO4(3),NO3(1),NO3(2),NO3(3),Lig(1),Lig(2),Lig(3),DIC(1),DIC(2),DIC(3),ALK(1),ALK(2),ALK(3),OCPCO2(1),OCPCO2(2),OCPCO2(3),ATPCO2,Limit
60000,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-19,1,1.0245E-07,0.010245,0.25,0.005,20,0,0.0001,1,15.5895710681688,221.785838613589,15.5022784115023,0.640254472472156,2.63204317873554,0.128838445202675,0.001517299884586,0.263973410905979,0.323106763325886,2.18204481848526,0.313391370286997,2.51550524056801,29.9445798408611,0.046124669689098,35.2799465941854,7.37964966313035,2.68413155730192,0.323158933333971,2266.62917024402,2101.14858571794,2385.36163099196,2397.67271668784,2388.38762070984,2399.30441347638,285.356507780591,266.884008795658,866.328148566745,0,324
60001,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-19,1,1.0245E-07,0.010245,0.25,0.005,20,0,5E-05,1,14.1256866576603,228.740466589239,15.7204298307404,0.391135950778217,2.73098842380836,0.130457676444886,0.000762177622676,0.102420343197642,0.160005181148603,2.34631397292945,0.31364981466483,2.5150782820788,32.5728863119729,0.050259779739052,35.2731152583625,2.08478426046952,1.39835450311986,0.160000830440248,2267.85949805831,2099.65829211359,2384.78809079973,2398.4768544376,2388.40988505256,2399.3025526247,286.926698312283,264.742351389295,861.364269432274,0,323
60002,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-19,1,1.0245E-07,0.010245,0.25,0.005,20,0,0.0002,1,19.60027510471,206.804818127077,15.0287088634499,1.14860204398212,2.42244893329578,0.125346594711152,0.003111479847108,0.597298437492326,0.659664976498656,1.84317353405455,0.312862298210648,2.51638812541626,24.5226392899725,0.037659516470125,35.2940727517598,25.9631114153952,4.85650458516466,0.660328663362461,2264.07209904043,2104.17782394424,2386.4310571905,2396.01290798482,2388.34051355532,2399.30822906313,282.108858482517,271.305478279736,875.655458027122,0,324
60003,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-19,1,1.0245E-07,0.010245,0.25,0.005,30,0,0.0001,1,14.5229813645906,226.746561364092,15.6579735044653,0.463382360919156,2.70250414647905,0.129993376248262,0.000979569446224,0.149178319321206,0.207208076373101,2.29876826690483,0.31357487743831,2.51520179985088,31.8121550155738,0.049060784109329,35.2750915427105,4.4343318258269,1.84465114001117,0.207205397403861,2267.5038101901,2100.09110528175,2384.9530114594,2398.24413068032,2388.40347415275,2399.30309189634,286.472087036781,265.36208964056,862.788772378722,0,323
60004,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-19,1,1.0245E-07,0.010245,0.25,0.005,30,0,5E-05,1,13.6711013772187,231.132914492525,15.7952863023047,0.303586700707187,2.76529434712863,0.131014929358387,0.000500397375483,0.04585032176183,0.102895088196169,2.40383953694398,0.3137406273128,2.51492889962443,33.4932953362026,0.051712782103489,35.2707251390897,1.29375952199167,0.947141546283795,0.102888308210592,2268.28899702424,2099.13299261708,2384.579608632,2398.75840356665,2388.41760766734,2399.30189946276,287.476002215811,263.992634059093,859.566592932367,0,323
60005,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-19,1,1.0245E-07,0.010245,0.25,0.005,30,0,0.0002,1,16.5958538210182,217.550890506206,15.3689691508762,0.787949711560442,2.57232834784323,0.127852354439896,0.001972631544685,0.360237694333935,0.420298193329847,2.08417051146902,0.313238000396416,2.51575992488682,28.3785909286035,0.043670751441844,35.2840215432883,15.5001231924605,3.47328114797724,0.420524523521543,2265.89287009739,2102.02967273646,2385.67567951617,2397.1934730389,2388.37419127148,2399.30551892642,284.418762414727,268.160519521686,869.057342223386,0,324
60006,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-19,1,1.0245E-07,0.010245,0.25,0.005,40,0,0.0001,1,14.0624520059331,229.065937819906,15.7306185984928,0.379280768434312,2.73564714900362,0.130533475013732,0.00072661675314,0.094754565066467,0.152264268781365,2.35410926780543,0.313662111309888,2.51505803534251,32.6976110299846,0.050456526055987,35.2727913105778,3.10031628887094,1.4035828327279,0.152259598271289,2267.91754291193,2099.58719599385,2384.75508819864,2398.51500864727,2388.41093368788,2399.30246415873,287.00071799631,264.640725018935,861.079363548478,0,323
60007,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-19,1,1.0245E-07,0.010245,0.25,0.005,40,0,5E-05,1,14.7177944110065,212.033417841969,17.6863324333186,0.2739290137554,3.95757504560095,0.151239222275769,0.000352271659362,0.02503564821373,0.070439980071653,2.43624237159853,0.313774670721766,2.51456137214524,34.0117406906741,0.05225747664594,35.2648446994214,0.878825054690888,1.20446342397635,0.070431502788399,2268.53531262939,2099.01553782347,2384.45621869789,2398.92113704791,2388.65313370923,2399.30434081717,287.787458327149,263.562137169648,858.478558478894,0,323
60008,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-19,1,1.0245E-07,0.010245,0.25,0.005,40,0,0.0002,1,15.4418288488796,222.441821740378,15.5228938133535,0.617103110922589,2.64132821335155,0.128991165075207,0.001446459493934,0.248919466802061,0.307907881602501,2.19735139021511,0.313415397279767,2.51546543123637,30.1894849885374,0.046509101571863,35.2793096448775,10.6458985767779,2.68700323565557,0.30792885400876,2266.74370283253,2101.01029773296,2385.30070579219,2397.74765655199,2388.38970937148,2399.3042403639,285.502148042833,266.684359329185,865.799390266038,0,324
60009,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-19,1,1.0245E-07,0.010245,0.25,0.0025,20,0,0.0001,1,13.6531656007992,142.609716203754,11.7191777794881,0.43756085112811,1.62152689339086,0.098157134292881,0.002067470114707,0.371858338451147,0.440440870086125,2.06758265902939,0.313221376357435,2.51618837401415,28.113185289568,0.043404766816677,35.2908767293241,8.11855022269359,3.62026606510208,0.440707374362202,2265.70050969004,2102.02059101599,2385.74052001642,2397.03665971459,2388.17175303162,2399.30121406606,284.259812710986,268.380746643062,869.663086957683,0,324
