      t(yr)     Limits    THETA      THETA      THETA     SALT       SALT       SALT      DIC        DIC        DIC        ALK        ALK        ALK           PO4        PO4        PO4       NO3        NO3        NO3         FET        FET        FET        LIG        LIG        LIG        EXPORT     EXPORT     EXPORT     P*       OCPCO2     OCPCO2     OCPCO2     ATPCO2       LDOC       LDOC       LDOC       PB         PB         PB      
          0               2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2200.00000 2100.00000 2400.00000 2350.00000 2350.00000 2400.00000    2.00000    0.00000    2.50000   25.00000    0.00000   35.00000    0.00000    0.00000    0.00000    2.00000    2.00000    2.00000    0.00000    0.00000    0.00000    0.28571  237.33609  313.93736  995.96146  280.00000    2.00000    2.00000    2.00000  100.00000  100.00000  100.00000
          0        333    2.00046   20.00457    4.00091   34.00776   35.50811   34.75793 2230.47917 2117.17307 2467.37496 2341.93675 2339.27045 2390.51291    2.47519    0.31770    3.13079   32.69142    4.97699   45.09199    0.02637    0.05560    0.04957 1632.12652    0.01680    0.00347    2.39926   11.27802  -13.67728    0.27438  320.30757  366.71131 1982.68051  280.06393  741.24601    2.25296    0.24880   17.97314   17.97036   17.84403
          0        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2223.20665 2096.22353 2477.88590 2343.50006 2336.64828 2388.30189    2.52812    0.33388    3.23455   33.70920    5.03132   46.75442    0.00166    0.00448    0.00191    0.00042    0.00973    0.00001    0.29785    2.33898   -2.63683    0.27903  297.81319  328.26529 2170.98217  280.00000    0.33443   19.45906    0.09616    4.19299    4.25609    4.16097
          1        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2226.09885 2079.75251 2479.25194 2347.16449 2336.33303 2388.08871    2.58297    0.30489    3.24753   34.74114    4.37417   46.96320    0.00068    0.00502    0.00068    0.00030    0.13859    0.00002    0.12396    2.62669   -2.75065    0.26025  297.03380  299.05526 2195.52998  280.00000    0.24030  277.18292    0.06058    2.47880    2.58796    2.46153
          1        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2229.19857 2069.91198 2479.81236 2350.65036 2336.30325 2387.99396    2.63607    0.28447    3.25295   35.73153    3.86443   47.05088    0.00055    0.00416    0.00036    0.00075    0.35740    0.00002    0.09932    2.19255   -2.29187    0.24058  297.12941  282.92303 2205.74032  280.00000    0.60160  714.79538    0.04683    1.75886    1.87079    1.74605
          2        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2231.91348 2064.31266 2480.10631 2353.85706 2336.45543 2387.93741    2.68209    0.27509    3.25587   36.59638    3.54102   47.09862    0.00052    0.00380    0.00024    0.00835    0.59762    0.00002    0.09533    2.01168   -2.10701    0.22299  296.88649  274.03907 2211.20742  280.00000    6.68375 1195.10907    0.04103    1.36155    1.46646    1.34934
          2        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2234.59991 2061.04617 2480.27859 2356.80498 2336.73313 2387.89814    2.72600    0.27142    3.25766   37.41609    3.31808   47.12816    0.00036    0.00362    0.00018    0.02106    0.84506    0.00003    0.06636    1.91968   -1.98604    0.20608  297.11923  268.79892 2214.50796  280.00000   16.84906 1689.49681    0.03925    1.10734    1.20723    1.09678
          3        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2237.05891 2059.17574 2480.38500 2359.50896 2337.10828 2387.86822    2.76808    0.27137    3.25883   38.19613    3.16141   47.14784    0.00027    0.00352    0.00014    0.03291    1.09485    0.00003    0.04925    1.86662   -1.91587    0.18987  297.32601  265.60705 2216.63472  280.00000   26.32865 2188.21519    0.04007    0.93042    1.02692    0.92179
          3        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2239.28396 2058.17716 2480.45183 2361.98329 2337.56281 2387.84396    2.80769    0.27388    3.25964   38.92732    3.05349   47.16158    0.00021    0.00345    0.00013    0.04262    1.34442    0.00004    0.03845    1.83338   -1.87183    0.17460  297.45934  263.63371 2218.05507  280.00000   34.09408 2686.13343    0.04287    0.80030    0.89426    0.79340
          4        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2241.30181 2057.73839 2480.49304 2364.24442 2338.08339 2387.82344    2.84461    0.27833    3.26020   39.60700    2.98388   47.17148    0.00017    0.00341    0.00012    0.05019    1.59224    0.00004    0.03121    1.81112   -1.84233    0.16036  297.54699  262.41039 2219.01689  280.00000   40.15533 3180.32481    0.04728    0.70065    0.79253    0.69520
          4        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2243.13510 2057.66514 2480.51671 2366.30900 2338.65931 2387.80552    2.87883    0.28429    3.26061   40.23559    2.94548   47.17874    0.00014    0.00338    0.00011    0.05593    1.83725    0.00005    0.02614    1.79557   -1.82171    0.14717  297.60711  261.65706 2219.66397  280.00000   44.74956 3668.70770    0.05390    0.62192    0.71204    0.61768
          5        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2244.80240 2057.83388 2480.52756 2368.19310 2339.28166 2387.78957    2.91042    0.29149    3.26089   40.81503    2.93319   47.18406    0.00012    0.00336    0.00015    0.06019    2.07877    0.00010    0.02247    1.78421   -1.80668    0.13498  297.64974  261.20159 2220.08009  280.00000   48.15445 4149.97899    0.13170    0.55819    0.64673    0.55500
          5        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2246.31939 2058.16370 2480.52777 2369.91181 2339.94274 2387.77531    2.93951    0.29968    3.26108   41.34787    2.94299   47.18777    0.00011    0.00334    0.00023    0.06327    2.31625    0.00019    0.01977    1.77574   -1.79552    0.12376  297.68029  260.93482 2220.30367  280.00000   50.63052 4623.11279    0.37540    0.50559    0.59267    0.50348
          6        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2247.70003 2058.60171 2480.51864 2371.47922 2340.63589 2387.76256    2.96623    0.30871    3.26118   41.83697    2.97170   47.19006    0.00010    0.00333    0.00037    0.06545    2.54937    0.00034    0.01775    1.76919   -1.78694    0.11344  297.70229  260.78777 2220.35741  280.00000   52.40979 5087.48574    0.95024    0.46146    0.54715    0.46062
          6        333    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2248.95669 2059.11202 2480.50058 2372.90836 2341.35523 2387.75130    2.99073    0.31842    3.26120   42.28526    3.01658   47.19100    0.00009    0.00332    0.00057    0.06695    2.77786    0.00055    0.01624    1.76409   -1.78033    0.10396  297.71777  260.71541 2220.24861  280.00000   53.70612 5542.58014    2.19418    0.42398    0.50830    0.42467
