      t(yr)     Limits    THETA      THETA      THETA     SALT       SALT       SALT      DIC        DIC        DIC        ALK        ALK        ALK           PO4        PO4        PO4       NO3        NO3        NO3         FET        FET        FET        LIG        LIG        LIG        EXPORT     EXPORT     EXPORT     P*       OCPCO2     OCPCO2     OCPCO2     ATPCO2       LDOC       LDOC       LDOC       PB         PB         PB      
          0               2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2200.00000 2100.00000 2400.00000 2350.00000 2350.00000 2400.00000    2.00000    0.00000    2.50000   25.00000    0.00000   35.00000    1.00000    1.00000    1.00000    2.00000    2.00000    2.00000    0.00000    0.00000    0.00000    0.28571  237.33609  313.93736  995.96146  280.00000    2.00000    2.00000    2.00000  100.00000  100.00000  100.00000
         25        323    2.00001   20.00009    4.00002   34.00016   35.50016   34.75016 2264.83165 2087.03478 2401.18478 2393.94341 2372.27629 2399.42816    2.43107    0.23102    2.51652   33.70085    0.05056   35.28697    0.00044    0.00572    0.00587    0.31009    0.58853    0.00582    0.02615    1.68215   -1.70830    0.04495  289.45159  265.10532 1013.38758  280.00128    0.16659    3.59915    0.00988   17.61402  450.46548   20.78802
         75        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.63871 2098.62580 2399.96999 2399.23852 2388.91632 2399.28504    2.50321    0.31041    2.51546   35.08258    0.05179   35.27875    0.00005    0.00489    0.00435    0.29105    1.53632    0.00434    0.00946    1.72229   -1.73174    0.00556  289.78828  262.71255 1002.62172  280.00000    0.08681    9.24343    0.00997    2.48362  428.12535    7.25556
        125        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.59236 2099.32253 2398.94213 2399.23086 2389.80015 2399.27904    2.50335    0.31360    2.51540   35.08541    0.05179   35.27821    0.00005    0.00489    0.00421    0.28281    1.61303    0.00420    0.00935    1.72229   -1.73164    0.00547  289.70075  262.70492  992.50921  280.00000    0.08567    9.69972    0.00996    2.58023  427.97282    7.51262
        175        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.55311 2099.35039 2397.94573 2399.23050 2389.83953 2399.27878    2.50335    0.31374    2.51539   35.08552    0.05179   35.27818    0.00005    0.00489    0.00421    0.28244    1.61688    0.00419    0.00934    1.72229   -1.73163    0.00546  289.61418  262.70014  982.73880  280.00000    0.08562    9.72265    0.00996    2.58508  427.96672    7.52553
        225        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.51502 2099.34853 2396.97226 2399.23048 2389.84129 2399.27877    2.50335    0.31375    2.51539   35.08553    0.05179   35.27818    0.00005    0.00489    0.00421    0.28242    1.61707    0.00419    0.00934    1.72229   -1.73163    0.00546  289.52952  262.69558  973.27178  280.00000    0.08562    9.72380    0.00996    2.58532  427.96642    7.52617
        275        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.47779 2099.34540 2396.02083 2399.23048 2389.84136 2399.27876    2.50335    0.31375    2.51539   35.08553    0.05179   35.27818    0.00005    0.00489    0.00421    0.28242    1.61708    0.00419    0.00934    1.72229   -1.73163    0.00546  289.44678  262.69112  964.09637  280.00000    0.08562    9.72385    0.00996    2.58533  427.96640    7.52620
        325        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.44138 2099.34229 2395.09092 2399.23048 2389.84137 2399.27876    2.50335    0.31375    2.51539   35.08553    0.05179   35.27818    0.00005    0.00489    0.00421    0.28242    1.61708    0.00419    0.00934    1.72229   -1.73163    0.00546  289.36591  262.68676  955.20250  280.00000    0.08562    9.72386    0.00996    2.58533  427.96640    7.52620
        375        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.40579 2099.33924 2394.18205 2399.23048 2389.84137 2399.27876    2.50335    0.31375    2.51539   35.08553    0.05179   35.27818    0.00005    0.00489    0.00421    0.28242    1.61708    0.00419    0.00934    1.72229   -1.73163    0.00546  289.28687  262.68250  946.58057  280.00000    0.08562    9.72386    0.00996    2.58533  427.96640    7.52620
        425        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2269.37099 2099.33626 2393.29374 2399.23048 2389.84137 2399.27876    2.50335    0.31375    2.51539   35.08553    0.05179   35.27818    0.00005    0.00489    0.00421    0.28242    1.61708    0.00419    0.00934    1.72229   -1.73163    0.00546  289.20962  262.67833  938.22130  280.00000    0.08562    9.72386    0.00996    2.58533  427.96640    7.52620
