      t(yr)     Limits    THETA      THETA      THETA     SALT       SALT       SALT      DIC        DIC        DIC        ALK        ALK        ALK           PO4        PO4        PO4       NO3        NO3        NO3         FET        FET        FET        LIG        LIG        LIG        EXPORT     EXPORT     EXPORT     P*       OCPCO2     OCPCO2     OCPCO2     ATPCO2       LDOC       LDOC       LDOC       PB         PB         PB      
          0               2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2200.00000 2100.00000 2400.00000 2350.00000 2350.00000 2400.00000    2.00000    0.00000    2.50000   25.00000    0.00000   35.00000    0.00000    0.00000    0.00000    2.00000    2.00000    2.00000    0.00000    0.00000    0.00000    0.28571  237.33609  313.93736  995.96146  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
         25        333    2.00011   20.00110    4.00022   34.00186   35.50195   34.75190 2265.04024 2087.10975 2399.26780 2394.30567 2372.02240 2399.85958    2.40459    0.23168    2.49742   33.27688    0.06084   34.98098    0.00022    0.03476    0.04116    1.30980    0.58019    3.85803    0.03940    1.70516   -1.74456    0.04871  289.09856  265.49147  990.05225  280.01534    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
         75        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.95000 2098.63097 2398.00650 2398.97290 2387.41435 2399.60095    2.37549    0.31037    2.49677   33.03914    0.05110   34.97972    0.00059    0.03072    0.12365    3.92739    0.87723   11.81536    0.10690    1.69487   -1.80177    0.05548  288.43466  264.41016  980.12970  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
        125        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2268.26323 2100.00975 2397.03174 2398.54079 2388.20593 2399.59614    2.29397    0.31342    2.49695   31.73532    0.04886   34.98297    0.00096    0.10501    0.20572    7.37878    1.37017   21.92967    0.17405    1.62779   -1.80185    0.09283  287.54633  265.47093  970.71917  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
        175        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2267.58346 2100.77984 2396.10121 2398.11650 2388.24002 2399.59694    2.21245    0.31343    2.49715   30.43099    0.04680   34.98621    0.00134    0.18490    0.28782   10.84016    1.86769   32.02901    0.24123    1.56090   -1.80212    0.13020  286.66123  266.52703  961.76074  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
        225        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2266.90418 2101.52027 2395.20968 2397.69256 2388.24088 2399.59798    2.13092    0.31330    2.49735   29.12661    0.04474   34.98945    0.00171    0.26561    0.36993   14.05902    2.33056   41.40193    0.30840    1.49400   -1.80239    0.16756  285.77964  267.58364  953.24416  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
        275        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2266.22529 2102.25603 2394.35601 2397.26878 2388.24028 2399.59904    2.04943    0.31318    2.49755   27.82268    0.04268   34.99270    0.00209    0.34654    0.45200   16.95305    2.74596   49.81808    0.37554    1.42712   -1.80266    0.20490  284.90177  268.64035  945.15194  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
        325        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2265.54691 2102.98805 2393.53923 2396.84526 2388.23961 2399.60009    1.96798    0.31305    2.49775   26.51955    0.04063   34.99594    0.00248    0.42750    0.53403   19.50848    3.11152   57.24178    0.44265    1.36028   -1.80293    0.24221  284.02773  269.69685  937.46704  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
        375        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2264.86912 2103.71628 2392.75842 2396.42208 2388.23895 2399.60114    1.88660    0.31292    2.49796   25.21745    0.03859   34.99918    0.00286    0.50842    0.61599   21.74107    3.42944   63.72127    0.50970    1.29349   -1.80319    0.27948  283.15760  270.75295  930.17318  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
        425        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2264.19199 2104.44064 2392.01267 2395.99929 2388.23829 2399.60219    1.80529    0.31279    2.49816   23.91657    0.03655   35.00241    0.00325    0.58926    0.69788   23.67881    3.70379   69.33943    0.57668    1.22677   -1.80346    0.31672  282.29139  271.80850  923.25483  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
        475        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2263.51556 2105.16108 2391.30108 2395.57695 2388.23763 2399.60324    1.72407    0.31267    2.49836   22.61704    0.03452   35.00564    0.00364    0.67000    0.77968   25.35373    3.93926   74.19036    0.64360    1.16012   -1.80372    0.35390  281.42911  272.86337  916.69720  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
        525        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.83987 2105.87757 2390.62280 2395.15508 2388.23697 2399.60429    1.64295    0.31254    2.49856   21.31898    0.03250   35.00887    0.00404    0.75062    0.86139   26.79788    4.14058   78.36792    0.71044    1.09354   -1.80398    0.39104  280.57076  273.91745  910.48617  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
        575        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.16493 2106.59008 2389.97696 2394.73372 2388.23632 2399.60534    1.56192    0.31241    2.49876   20.02250    0.03049   35.01209    0.00443    0.83110    0.94301   28.04136    4.31220   81.96014    0.77720    1.02704   -1.80424    0.42813  279.71633  274.97066  904.60829  280.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
