      t(yr)     Limits    THETA      THETA      THETA     SALT       SALT       SALT      DIC        DIC        DIC        ALK        ALK        ALK           PO4        PO4        PO4       NO3        NO3        NO3         FET        FET        FET        LIG        LIG        LIG        EXPORT     EXPORT     EXPORT     P*       OCPCO2     OCPCO2     OCPCO2     ATPCO2       LDOC       LDOC       LDOC       PB         PB         PB      
          0               2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2200.00000 2100.00000 2400.00000 2350.00000 2350.00000 2400.00000    2.00000    0.00000    2.50000   25.00000    0.00000   35.00000    0.00000    0.00000    0.00000    2.00000    2.00000    2.00000    0.00000    0.00000    0.00000    0.28571  237.33609  313.93736  995.96146  280.00000    2.00000    2.00000    2.00000  100.00000  100.00000  100.00000
          0        323    2.00046   20.00457    4.00091   34.00776   35.50811   34.75793 2225.05611 2097.10404 2467.54706 2341.33881 2338.57802 2390.52534    2.34891    0.11516    3.13224   30.67088    1.73633   45.11525    0.04360 -341.70854    0.04825    0.09205   -6.89277    0.01777    3.55947   18.88593  -22.44540    0.31945  306.82648  328.30521 1985.14289  280.06393    0.92355   10.08547    0.24015   17.92357   18.14412   17.88552
          0        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2222.44744 2074.43447 2478.16948 2342.97189 2335.55754 2388.31426    2.40973    0.02339    3.23696   31.81493    0.06361   46.79305    0.00194 -333.78989   -0.00024    0.00130    0.00099    2.81515    0.34721    2.09932   -2.44653    0.32010  296.78345  290.49507 2175.21012  280.00000    0.40827    1.97540   11.60755    4.22580    4.34978    4.20056
          1        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2224.93006 2068.84687 2479.70620 2346.61311 2335.36843 2388.07005    2.45917    0.03478    3.25154   32.76037    0.05236   47.02739    0.00159 -323.57636   -0.01957    2.03014    0.00161  370.56355    0.28722    1.74039   -2.02760    0.30338  295.07885  281.81415 2202.91452  280.00000    7.73345    2.68494  776.41921    2.52707    2.63991    2.35887
          1        323    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2228.55289 2065.11581 2481.65496 2350.09786 2335.43887 2387.76154    2.51455    0.04611    3.27003   33.78725    0.05072   47.32422    0.00060 -313.70033   -0.05638   81.96090    0.01546 2459.84929    0.10963    1.68768   -1.79732    0.28606  296.41879  275.96426 2238.20068  280.00000  131.57864    3.54081 2235.40256    1.78891    1.94572    1.26943
          2        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2232.13435 2062.54662 2496.22451 2353.29950 2335.65076 2385.54705    2.58145    0.05697    3.40760   34.98606    0.05121   49.52624    0.00018 -304.13505   -0.09372  258.53257    0.05328 1780.27502    0.03206    1.70333   -1.73539    0.29290  298.30158  271.83417 2507.96364  280.00000  171.70897    4.40627 **********    1.32779    1.57843    0.26979
          2        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2235.31297 2060.71737 2513.53523 2355.95210 2335.95896 2382.91886    2.66181    0.06733    3.57103   36.38897    0.05261   52.14209    0.00015 -294.86697   -0.15174    0.00026    0.00262    0.03521    0.02670    1.74857   -1.77527    0.30210  300.44779  268.75981 2833.00411  280.00000  -28.34343    5.22494 **********    0.77152    1.35407    0.00016
          3        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2237.77311 2059.35723 2511.36335 2358.35841 2336.33683 2383.23143    2.74389    0.07718    3.55067   37.80915    0.05431   51.81723   -0.00033 -285.88562   -0.21622    0.00148    0.00304    0.03780   -0.05976    1.80312   -1.74336    0.27032  301.41432  266.33252 2791.71469  280.00000  -69.35687    6.05825 **********    0.29768    1.20248    0.00015
          3        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2240.15334 2058.31539 2509.19148 2360.63195 2336.77270 2383.54380    2.82743    0.08655    3.53032   39.24327    0.05615   51.49244   -0.00099 -277.18151   -0.27862    0.03404    0.00346    0.04033   -0.18340    1.86248   -1.67908    0.23787  302.48184  264.32593 2750.55914  280.00000 -590.59801    6.72394 **********    0.02340    1.09533    0.00010
          4        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2242.46721 2057.49111 2507.01770 2362.79194 2337.25838 2383.85616    2.91532    0.09547    3.50995   40.73834    0.05819   51.16741   -0.00145 -268.74570   -0.33903    0.16503    0.00389    0.04278   -0.26922    1.92723   -1.65801    0.20380  303.65076  262.59323 2709.50689  280.00000 **********    7.02277 **********    0.00000    1.01730    0.00007
