      t(yr)     Limits    THETA      THETA      THETA     SALT       SALT       SALT      DIC        DIC        DIC        ALK        ALK        ALK           PO4        PO4        PO4       NO3        NO3        NO3         FET        FET        FET        LIG        LIG        LIG        EXPORT     EXPORT     EXPORT     P*       OCPCO2     OCPCO2     OCPCO2     ATPCO2       LDOC       LDOC       LDOC       PB         PB         PB      
          4        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2244.38031 2056.81485 2504.84557 2364.81626 2337.78699 2384.16841    3.00001    0.10396    3.48960   42.17438    0.06017   50.84265   -0.00170 -260.56969   -0.39750    0.32211    0.00431    0.04523   -0.31721    1.99095   -1.67374    0.17047  304.13587  261.03652 2668.62333  280.00000 **********    7.27195 **********    0.00001    0.95935    0.00005
          5        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2246.13956 2056.25407 2502.67403 2366.71211 2338.35267 2384.48078    3.08067    0.11204    3.46926   43.53905    0.06211   50.51800   -0.00195 -252.64534   -0.45410    0.49243    0.00471    0.04771   -0.36363    2.05229   -1.68866    0.13813  304.51564  259.61266 2627.89187  280.00000 **********    7.52085 **********    0.00001    0.91600    0.00004
          5        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2247.78740 2055.78823 2500.50444 2368.49013 2338.95032 2384.79306    3.15751    0.11974    3.44895   44.83596    0.06395   50.19365   -0.00218 -244.96480   -0.50887    0.67397    0.00508    0.05020   -0.40855    2.11120   -1.70266    0.10672  304.87035  258.29599 2587.34286  280.00000 **********    7.77841 **********    0.00001    0.88383    0.00003
          6        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2249.33475 2055.40308 2498.33543 2370.16003 2339.57549 2385.10548    3.23070    0.12709    3.42864   46.06848    0.06574   49.86940   -0.00241 -237.52049   -0.56189    0.86488    0.00543    0.05272   -0.45201    2.16757   -1.71556    0.07620  305.20587  257.06963 2546.95546  280.00000 **********    8.04784 **********    0.00002    0.86057    0.00003
          6        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2250.79020 2055.08704 2496.16836 2371.73068 2340.22420 2385.41781    3.30039    0.13409    3.40835   47.23980    0.06743   49.54544   -0.00263 -230.30509   -0.61320    1.06353    0.00573    0.05524   -0.49409    2.22154   -1.72745    0.04652  305.52421  255.92044 2506.75999  280.00000 **********    8.32990 **********    0.00002    0.84468    0.00002
          7        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2252.16069 2054.83186 2494.00184 2373.21022 2340.89296 2385.73028    3.36676    0.14079    3.38806   48.35287    0.06908   49.22157   -0.00284 -223.31150   -0.66286    1.26843    0.00600    0.05779   -0.53481    2.27305   -1.73824    0.01763  305.82495  254.83967 2466.73610  280.00000 **********    8.62206 **********    0.00002    0.83504    0.00002
          7        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2253.45337 2054.63019 2491.83722 2374.60605 2341.57860 2386.04268    3.42993    0.14718    3.36780   49.41050    0.07063   48.89800   -0.00304 -216.53287   -0.71092    1.47829    0.00624    0.06033   -0.57422    2.32230   -1.74808   -0.01050  306.10973  253.81968 2426.91428  280.00000 **********    8.92159 **********    0.00002    0.83081    0.00002
          8        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2254.67390 2054.47681 2489.67312 2375.92496 2342.27831 2386.35522    3.49006    0.15329    3.34755   50.41527    0.07213   48.57450   -0.00324 -209.96255   -0.75744    1.69193    0.00643    0.06289   -0.61235    2.36925   -1.75690   -0.03791  306.37790  252.85556 2387.27479  280.00000 **********    9.22410  -48.84577    0.00002    0.83132    0.00001
          8        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2255.82840 2054.36660 2487.51089 2377.17316 2342.98958 2386.66769    3.54728    0.15913    3.32731   51.36969    0.07355   48.25129   -0.00342 -203.59411   -0.80246    1.90830    0.00659    0.06556   -0.64927    2.41411   -1.76484   -0.06464  306.63121  251.94232 2347.84830  280.00000 **********    9.52648 2071.84086    0.00002    0.83601    0.00002
          9        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2256.92148 2054.29602 2485.34916 2378.35631 2343.71013 2386.98030    3.60170    0.16473    3.30708   52.27601    0.07493   47.92815   -0.00361 -197.42130   -0.84602    2.12646    0.00671    0.06819   -0.68498    2.45685   -1.77188   -0.08910  306.86883  251.07698 2308.61574  280.00000 **********    9.82482 4192.29900    0.00001    0.84438    0.00001
          9        324    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2257.95841 2054.26118 2483.18927 2379.47961 2344.43795 2387.29283    3.65345    0.17009    3.28686   53.13645    0.07622   47.60529   -0.00378 -191.43809   -0.88817    2.34561    0.00680    0.07082   -0.71955    2.49768   -1.77813   -0.11154  307.09262  250.25590 2269.60798  280.00000 **********   10.11721 6311.14263    0.00001    0.85601    0.00001
